pokedex_number,name,type1,type2,Sum,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary
1,Bulbasaur,grass,poison,318,45,49,49,65,65,45,1,FALSE
2,Ivysaur,grass,poison,405,60,62,63,80,80,60,1,FALSE
3,Venusaur,grass,poison,625,80,100,123,122,120,80,1,FALSE
4,Charmander,fire,,309,39,52,43,60,50,65,1,FALSE
5,Charmeleon,fire,,405,58,64,58,80,65,80,1,FALSE
6,Charizard,fire,flying,634,78,104,78,159,115,100,1,FALSE
7,Squirtle,water,,314,44,48,65,50,64,43,1,FALSE
8,Wartortle,water,,405,59,63,80,65,80,58,1,FALSE
9,Blastoise,water,,630,79,103,120,135,115,78,1,FALSE
10,Caterpie,bug,,195,45,30,35,20,20,45,1,FALSE
11,Metapod,bug,,205,50,20,55,25,25,30,1,FALSE
12,Butterfree,bug,flying,395,60,45,50,90,80,70,1,FALSE
13,Weedle,bug,poison,195,40,35,30,20,20,50,1,FALSE
14,Kakuna,bug,poison,205,45,25,50,25,25,35,1,FALSE
15,Beedrill,bug,poison,495,65,150,40,15,80,145,1,FALSE
16,Pidgey,normal,flying,251,40,45,40,35,35,56,1,FALSE
17,Pidgeotto,normal,flying,349,63,60,55,50,50,71,1,FALSE
18,Pidgeot,normal,flying,579,83,80,80,135,80,121,1,FALSE
19,Rattata,normal,dark,253,30,56,35,25,35,72,1,FALSE
20,Raticate,normal,dark,413,75,71,70,40,80,77,1,FALSE
21,Spearow,normal,flying,262,40,60,30,31,31,70,1,FALSE
22,Fearow,normal,flying,442,65,90,65,61,61,100,1,FALSE
23,Ekans,poison,,288,35,60,44,40,54,55,1,FALSE
24,Arbok,poison,,448,60,95,69,65,79,80,1,FALSE
25,Pikachu,electric,,320,35,55,40,50,50,90,1,FALSE
26,Raichu,electric,electric,485,60,85,50,95,85,110,1,FALSE
27,Sandshrew,ground,ice,300,50,75,90,10,35,40,1,FALSE
28,Sandslash,ground,ice,450,75,100,120,25,65,65,1,FALSE
29,Nidoran♀,poison,,275,55,47,52,40,40,41,1,FALSE
30,Nidorina,poison,,365,70,62,67,55,55,56,1,FALSE
31,Nidoqueen,poison,ground,505,90,92,87,75,85,76,1,FALSE
32,Nidoran♂,poison,,273,46,57,40,40,40,50,1,FALSE
33,Nidorino,poison,,365,61,72,57,55,55,65,1,FALSE
34,Nidoking,poison,ground,505,81,102,77,85,75,85,1,FALSE
35,Clefairy,fairy,,323,70,45,48,60,65,35,1,FALSE
36,Clefable,fairy,,483,95,70,73,95,90,60,1,FALSE
37,Vulpix,fire,ice,299,38,41,40,50,65,65,1,FALSE
38,Ninetales,fire,ice,505,73,67,75,81,100,109,1,FALSE
39,Jigglypuff,normal,fairy,270,115,45,20,45,25,20,1,FALSE
40,Wigglytuff,normal,fairy,435,140,70,45,85,50,45,1,FALSE
41,Zubat,poison,flying,245,40,45,35,30,40,55,1,FALSE
42,Golbat,poison,flying,455,75,80,70,65,75,90,1,FALSE
43,Oddish,grass,poison,320,45,50,55,75,65,30,1,FALSE
44,Gloom,grass,poison,395,60,65,70,85,75,40,1,FALSE
45,Vileplume,grass,poison,490,75,80,85,110,90,50,1,FALSE
46,Paras,bug,grass,285,35,70,55,45,55,25,1,FALSE
47,Parasect,bug,grass,405,60,95,80,60,80,30,1,FALSE
48,Venonat,bug,poison,305,60,55,50,40,55,45,1,FALSE
49,Venomoth,bug,poison,450,70,65,60,90,75,90,1,FALSE
50,Diglett,ground,ground,265,10,55,30,35,45,90,1,FALSE
51,Dugtrio,ground,ground,425,35,100,60,50,70,110,1,FALSE
52,Meowth,normal,dark,290,40,35,35,50,40,90,1,FALSE
53,Persian,normal,dark,440,65,60,60,75,65,115,1,FALSE
54,Psyduck,water,,320,50,52,48,65,50,55,1,FALSE
55,Golduck,water,,500,80,82,78,95,80,85,1,FALSE
56,Mankey,fighting,,305,40,80,35,35,45,70,1,FALSE
57,Primeape,fighting,,455,65,105,60,60,70,95,1,FALSE
58,Growlithe,fire,,350,55,70,45,70,50,60,1,FALSE
